id,success,tokenNum,teamSize,country,categories,overallrating,offered_ownership,enddate,startdate,tokenName,tokenPrice,tokenType,platform,acceptingCurrency,softcap,hardcap,whitepaper,video,socialMedia
1,0,12750000,14,Estonia,"Charity,Education,Health,Smart Contract",2.6,0.8,"Sunday, 15 April, 2018","Thursday, 1 March, 2018",REDLcoin,1 REDL = 1 USD,ERC20,Ethereum,ETH,1,1,1,1,0
2,0,0,13,Singapore,Infrastructure,2.1,0.7,"Friday, 25 August, 2017","Tuesday, 25 July, 2017",SLOGN,1 SLOGN= 0.0001 ETH,"8,00,00,00,000",,ETH,1,1,1,1,0
3,1,2220000000,9,Singapore,"Platform,Business services",2.5,0.37,"Thursday, 23 November, 2017","Saturday, 18 November, 2017",TNB,1 TNB = 0.00005 ETH,ERC20,Ethereum,,1,1,1,0,3
4,0,40000000,0,USA,"Cryptocurrency,Business services,Entertainment,Internet,Retail",1.5,0.8,"Thursday, 26 April, 2018","Monday, 26 March, 2018",GIF,1GIF = 0.00969635 USD,ERC20,Ethereum,"ETH, BTC, LTC",1,1,1,1,0
5,1,45000000,7,Mexico,"Internet,Infrastructure,Cryptocurrency,Business services,Big Data,Banking,Artificial Intelligence,Legal,Real estate,Smart Contract,Software",2.1,0.5,"Friday, 18 May, 2018","Sunday, 22 April, 2018",AIRE,1 ETH = 4440 AIRE,ERC20,Ethereum,"ETH , BTC",1,1,1,0,0
6,1,80000000,20,Gibraltar,"Platform,Infrastructure,Energy",4.3,0.1,"Friday, 2 February, 2018","Thursday, 1 February, 2018",WPR,"1 ETH = 8,000 WPR",,Ethereum,ETH,1,1,1,1,2
7,0,120000000,10,South Africa,"Platform,Cryptocurrency,Internet,Media,Retail",3.5,0.32,"Monday, 30 April, 2018","Monday, 12 March, 2018",CBC,"1 ETР = 6,000 CBC",ERC20,Ethereum,ETH,0,0,1,1,3
8,1,,10,Hong Kong,"Cryptocurrency,Platform",2.8,0.51,"Saturday, 17 March, 2018","Saturday, 17 February, 2018",XCD,,ERC20,Ethereum,ETH,0,1,1,1,0
9,0,10000000,4,Switzerland,"Smart Contract,Cryptocurrency",2.5,,"Monday, 23 April, 2018","Saturday, 24 March, 2018",SPIN,1 ETH = 500 SPIN,ERC20,Ethereum,,1,1,1,1,0
10,1,51000000,22,UK,"Banking,Platform,Software",3.5,0.51,"Wednesday, 6 December, 2017","Monday, 6 November, 2017",CAS,1 CAS = 0.1 USD,ERC20,Ethereum,"ETH, BTC, Fiat",0,1,1,0,3
11,1,,15,USA,Banking,3.9,,"Thursday, 28 December, 2017","Tuesday, 28 November, 2017",BKX,1 ETH = 500 BKX,,Ethereum,"BTC, ETH, WAVES, TIME, Lightcoin, SALT",1,1,1,1,2
12,1,6000000,7,Russia,"Infrastructure,Platform",3.3,0.6,"Sunday, 8 October, 2017","Friday, 8 September, 2017",CCT,1 CCT = 0.01 ETH,ERC20,Ethereum,ETH,1,1,1,1,0
13,0,0,13,Estonia,"Cryptocurrency,Internet,Investment,Energy",2,0.8,"Thursday, 30 November, 2017","Wednesday, 1 November, 2017",BNS,1 ETH = 800 BNS,ERC20,Ethereum,,1,1,1,0,0
14,0,0,7,USA,"Platform,Investment,Cryptocurrency",2.1,0.55,"Tuesday, 31 October, 2017","Sunday, 1 October, 2017",BIX,1800 BIX = 1 ETH,ERC20,Ethereum,ETH,0,1,1,0,3
15,1,30000000,12,Japan,Business services,2.3,0.3,"Sunday, 29 April, 2018","Sunday, 1 April, 2018",MTK,1 MTK = 7.5 USD,ERC20,Ethereum,"ETH, BTC, Fiat",0,1,1,1,0
16,0,0,4,United Kingdom,"Artificial Intelligence,Investment,Big Data",1.9,0.8,"Saturday, 3 March, 2018","Saturday, 3 February, 2018",HYD,1 ETH = 1000 HYD,ERC20,Ethereum,"ETH, BTC",1,0,1,0,0
17,0,100000000,3,United Arab Emirates,"Platform,Other",1.8,,"Thursday, 15 February, 2018","Monday, 15 January, 2018",NHT,1 NHT = 0.8 USD,ERC20,EOS,ETH,0,0,1,1,0
18,1,29999997,6,Switzerland,Health,2.5,0.3,"Saturday, 30 September, 2017","Wednesday, 30 August, 2017",LTA,1 LTA = 1 USD,,Litecoin,"BTC, ETH, Fiat",0,1,1,1,0
19,0,90000000,17,Hong Kong,"Platform,Internet,Communication,Business services,Sports",3.6,0.45,"Sunday, 10 June, 2018","Wednesday, 25 April, 2018",FAS,1 ETH = 3012 FAS,ERC20,Ethereum,"ETH, BTC",1,1,1,1,0
20,0,0,10,Russia,"Business services,Investment,Energy",3.4,0.6,"Tuesday, 31 October, 2017","Monday, 11 September, 2017",MITO,1 MITO = 0.003 ETH,ERC20,Ethereum,ETH,0,0,1,1,0
21,0,30000000,8,USA,Media,2.3,0.3,"Monday, 11 June, 2018","Sunday, 11 March, 2018",CTV,"1ETH = 1,000 CTV",ERC20,Ethereum,ETH,0,1,1,1,0
22,0,0,8,Cyprus,"Infrastructure,Real estate,Tourism",2.8,0.8,"Tuesday, 29 May, 2018","Tuesday, 6 March, 2018",GO,1 ETH = 50000 GO,ERC20,Ethereum,"ETH, BTC, LTC, DASH",1,1,1,0,0
23,1,187500000,14,USA,"Artificial Intelligence,Business services",2.9,0.75,"Friday, 12 January, 2018","Monday, 8 January, 2018",AXP,1 AXP = 0.1 USD,ERC223,Ethereum,"ETH, BTC",1,1,1,1,3
24,1,,15,Bulgaria,Platform,3.2,,"Monday, 19 June, 2017","Monday, 29 May, 2017",AE,,,Ethereum,"ETH, BTC",0,0,1,1,0
25,1,,11,Singapore,Software,2.6,0.33,"Sunday, 31 December, 2017","Saturday, 19 August, 2017",AUTH,1 ETH = 2226 AUTH,ERC20,Ethereum,"ETH, BTC, BCH, LTC, DASH, Fiat",0,1,1,0,0
